Facility_Name,Latitude,Longitude
North Devon District Hospital,51.09217,-4.05043
Honiton Hospital,50.79492,-3.18659
Tiverton & District Hospital,50.90933,-3.49308
Exmouth Minor Injury Unit,50.62083,-3.40198
Victoria Hospital (Sidmouth),50.68161,-3.23966
Newton Abbot Community Hospital,50.53926,-3.61224
Totnes Community Hospital,50.43283,-3.68406
NHS Walk in Centre (Exeter),50.72658,-3.52521
Tavistock Hospital,50.54708,-4.15376
South Hams Hospital (Kingsbridge),50.28929,-3.78143
Cumberland Centre (Plymouth),50.37004,-4.16873
Derriford Hospital (UTC),50.41802,-4.1189
Ilfracombe & District Tyrrell Hospital,51.20468,-4.12454
South Molton Hospital,51.01681,-3.83823
Dawlish Community Hospital,50.58057,-3.47482
