LSOA 2021 Code,LSOA 2021 Name,Total,F50-84,M50-84,MF50-84,F50-84 Percentage of Total LSOA Population,M50-84 Percentage of Total LSOA Population,MF50-84 Percentage of Total LSOA Population
E01015023,Plymouth 003A,1750,321,309,630,18.3,17.7,36.0
E01015024,Plymouth 004A,1264,298,285,583,23.6,22.5,46.1
E01015025,Plymouth 001A,1712,437,413,850,25.5,24.1,49.6
E01015026,Plymouth 003B,1493,253,245,498,16.9,16.4,33.4
E01015027,Plymouth 002A,1669,367,331,698,22.0,19.8,41.8
E01015028,Plymouth 003C,1740,215,229,444,12.4,13.2,25.5
E01015029,Plymouth 008A,2107,306,241,547,14.5,11.4,26.0
E01015030,Plymouth 007A,1634,264,257,521,16.2,15.7,31.9
E01015031,Plymouth 023A,1606,178,223,401,11.1,13.9,25.0
E01015032,Plymouth 023B,1924,140,190,330,7.3,9.9,17.2
E01015033,Plymouth 016A,1583,307,335,642,19.4,21.2,40.6
E01015034,Plymouth 016B,1399,317,301,618,22.7,21.5,44.2
E01015035,Plymouth 012A,1457,313,266,579,21.5,18.3,39.7
E01015036,Plymouth 016C,1577,319,316,635,20.2,20.0,40.3
E01015037,Plymouth 012B,1309,305,246,551,23.3,18.8,42.1
E01015038,Plymouth 016D,1681,335,297,632,19.9,17.7,37.6
E01015039,Plymouth 014A,1075,199,154,353,18.5,14.3,32.8
E01015040,Plymouth 014B,1537,249,218,467,16.2,14.2,30.4
E01015041,Plymouth 014C,1612,226,213,439,14.0,13.2,27.2
E01015042,Plymouth 020A,1447,189,206,395,13.1,14.2,27.3
E01015043,Plymouth 026A,1424,185,208,393,13.0,14.6,27.6
E01015044,Plymouth 020B,1477,244,255,499,16.5,17.3,33.8
E01015045,Plymouth 026B,1497,201,227,428,13.4,15.2,28.6
E01015046,Plymouth 026C,1955,290,278,568,14.8,14.2,29.1
E01015047,Plymouth 026D,2163,404,394,798,18.7,18.2,36.9
E01015048,Plymouth 026E,2455,265,287,552,10.8,11.7,22.5
E01015049,Plymouth 023C,1869,163,180,343,8.7,9.6,18.4
E01015050,Plymouth 023D,2041,127,161,288,6.2,7.9,14.1
E01015051,Plymouth 023E,1898,109,131,240,5.7,6.9,12.6
E01015052,Plymouth 028A,1995,139,181,320,7.0,9.1,16.0
E01015053,Plymouth 027A,1345,73,119,192,5.4,8.8,14.3
E01015054,Plymouth 027B,3170,78,84,162,2.5,2.6,5.1
E01015055,Plymouth 021A,1445,278,258,536,19.2,17.9,37.1
E01015056,Plymouth 021B,1702,378,358,736,22.2,21.0,43.2
E01015057,Plymouth 021C,1651,278,253,531,16.8,15.3,32.2
E01015058,Plymouth 012C,1628,257,213,470,15.8,13.1,28.9
E01015059,Plymouth 021D,1517,266,256,522,17.5,16.9,34.4
E01015060,Plymouth 021E,1549,311,233,544,20.1,15.0,35.1
E01015061,Plymouth 025A,1637,142,172,314,8.7,10.5,19.2
E01015062,Plymouth 025B,2160,166,161,327,7.7,7.5,15.1
E01015063,Plymouth 010A,1442,289,222,511,20.0,15.4,35.4
E01015064,Plymouth 008B,1617,441,402,843,27.3,24.9,52.1
E01015065,Plymouth 008C,1310,287,250,537,21.9,19.1,41.0
E01015066,Plymouth 012D,1301,335,260,595,25.7,20.0,45.7
E01015067,Plymouth 012E,1411,369,332,701,26.2,23.5,49.7
E01015068,Plymouth 010B,1574,317,290,607,20.1,18.4,38.6
E01015069,Plymouth 010C,1493,259,237,496,17.3,15.9,33.2
E01015070,Plymouth 007B,2847,506,464,970,17.8,16.3,34.1
E01015071,Plymouth 008D,1511,313,264,577,20.7,17.5,38.2
E01015072,Plymouth 013A,1466,266,236,502,18.1,16.1,34.2
E01015073,Plymouth 013B,1510,293,261,554,19.4,17.3,36.7
E01015074,Plymouth 011A,1512,291,267,558,19.2,17.7,36.9
E01015075,Plymouth 014D,1496,280,269,549,18.7,18.0,36.7
E01015076,Plymouth 009A,1377,271,274,545,19.7,19.9,39.6
E01015077,Plymouth 011B,2589,432,337,769,16.7,13.0,29.7
E01015078,Plymouth 013C,1759,299,260,559,17.0,14.8,31.8
E01015079,Plymouth 011C,1779,366,299,665,20.6,16.8,37.4
E01015080,Plymouth 013D,1593,161,123,284,10.1,7.7,17.8
E01015081,Plymouth 007C,1785,283,254,537,15.9,14.2,30.1
E01015082,Plymouth 004B,1659,344,283,627,20.7,17.1,37.8
E01015083,Plymouth 004C,1590,301,298,599,18.9,18.7,37.7
E01015084,Plymouth 004D,1465,311,257,568,21.2,17.5,38.8
E01015085,Plymouth 006A,1618,343,290,633,21.2,17.9,39.1
E01015086,Plymouth 007D,1392,317,255,572,22.8,18.3,41.1
E01015087,Plymouth 006B,1681,278,252,530,16.5,15.0,31.5
E01015088,Plymouth 006C,1599,236,200,436,14.8,12.5,27.3
E01015089,Plymouth 007E,1686,339,292,631,20.1,17.3,37.4
E01015090,Plymouth 005A,1282,322,270,592,25.1,21.1,46.2
E01015091,Plymouth 005B,1382,375,355,730,27.1,25.7,52.8
E01015092,Plymouth 005C,2957,364,288,652,12.3,9.7,22.0
E01015093,Plymouth 005D,1336,352,276,628,26.3,20.7,47.0
E01015094,Plymouth 005E,1519,314,278,592,20.7,18.3,39.0
E01015095,Plymouth 010D,1348,336,271,607,24.9,20.1,45.0
E01015096,Plymouth 010E,1340,351,242,593,26.2,18.1,44.3
E01015097,Plymouth 001B,2295,678,542,1220,29.5,23.6,53.2
E01015098,Plymouth 017A,1663,306,263,569,18.4,15.8,34.2
E01015099,Plymouth 017B,1508,281,243,524,18.6,16.1,34.7
E01015100,Plymouth 017C,1540,233,244,477,15.1,15.8,31.0
E01015101,Plymouth 016E,1564,364,342,706,23.3,21.9,45.1
E01015102,Plymouth 011D,1690,271,291,562,16.0,17.2,33.3
E01015103,Plymouth 017D,1578,245,293,538,15.5,18.6,34.1
E01015104,Plymouth 011E,1523,300,266,566,19.7,17.5,37.2
E01015105,Plymouth 017E,1536,270,244,514,17.6,15.9,33.5
E01015106,Plymouth 013E,1199,269,224,493,22.4,18.7,41.1
E01015107,Plymouth 018A,1810,270,259,529,14.9,14.3,29.2
E01015108,Plymouth 022A,1801,305,254,559,16.9,14.1,31.0
E01015109,Plymouth 022B,1299,287,281,568,22.1,21.6,43.7
E01015110,Plymouth 018B,1490,350,335,685,23.5,22.5,46.0
E01015111,Plymouth 018C,1781,314,256,570,17.6,14.4,32.0
E01015112,Plymouth 019A,1653,296,253,549,17.9,15.3,33.2
E01015113,Plymouth 019B,1410,293,301,594,20.8,21.3,42.1
E01015114,Plymouth 019C,1452,302,313,615,20.8,21.6,42.4
E01015115,Plymouth 022C,1356,329,293,622,24.3,21.6,45.9
E01015116,Plymouth 022D,1438,305,322,627,21.2,22.4,43.6
E01015117,Plymouth 022E,1318,309,279,588,23.4,21.2,44.6
E01015118,Plymouth 019D,1653,359,335,694,21.7,20.3,42.0
E01015119,Plymouth 018D,1582,327,309,636,20.7,19.5,40.2
E01015120,Plymouth 015A,1550,354,321,675,22.8,20.7,43.5
E01015121,Plymouth 015B,1505,339,323,662,22.5,21.5,44.0
E01015122,Plymouth 019E,1637,317,283,600,19.4,17.3,36.7
E01015123,Plymouth 015C,1661,423,372,795,25.5,22.4,47.9
E01015124,Plymouth 015D,1480,356,314,670,24.1,21.2,45.3
E01015125,Plymouth 015E,1456,326,317,643,22.4,21.8,44.2
E01015126,Plymouth 030A,1527,373,330,703,24.4,21.6,46.0
E01015127,Plymouth 030B,1485,350,342,692,23.6,23.0,46.6
E01015128,Plymouth 032A,1550,381,349,730,24.6,22.5,47.1
E01015129,Plymouth 032B,1345,289,239,528,21.5,17.8,39.3
E01015130,Plymouth 032C,1569,288,267,555,18.4,17.0,35.4
E01015131,Plymouth 030C,2532,544,470,1014,21.5,18.6,40.0
E01015132,Plymouth 030D,1452,313,263,576,21.6,18.1,39.7
E01015133,Plymouth 030E,1439,348,307,655,24.2,21.3,45.5
E01015134,Plymouth 032D,1592,327,253,580,20.5,15.9,36.4
E01015136,Plymouth 031B,1478,318,304,622,21.5,20.6,42.1
E01015137,Plymouth 031C,1703,392,364,756,23.0,21.4,44.4
E01015138,Plymouth 031D,1820,451,388,839,24.8,21.3,46.1
E01015139,Plymouth 031E,1368,294,261,555,21.5,19.1,40.6
E01015140,Plymouth 032E,1504,347,303,650,23.1,20.1,43.2
E01015141,Plymouth 031F,1759,441,404,845,25.1,23.0,48.0
E01015142,Plymouth 009B,1427,316,314,630,22.1,22.0,44.1
E01015143,Plymouth 009C,1285,274,251,525,21.3,19.5,40.9
E01015144,Plymouth 009D,1627,286,227,513,17.6,14.0,31.5
E01015145,Plymouth 014E,1269,152,118,270,12.0,9.3,21.3
E01015146,Plymouth 009E,1922,258,235,493,13.4,12.2,25.7
E01015147,Plymouth 006D,1294,268,267,535,20.7,20.6,41.3
E01015148,Plymouth 006E,1488,278,231,509,18.7,15.5,34.2
E01015149,Plymouth 009F,1486,248,214,462,16.7,14.4,31.1
E01015150,Plymouth 009G,1442,321,335,656,22.3,23.2,45.5
E01015151,Plymouth 033A,2120,197,270,467,9.3,12.7,22.0
E01015152,Plymouth 027C,3303,260,262,522,7.9,7.9,15.8
E01015153,Plymouth 033C,1899,280,368,648,14.7,19.4,34.1
E01015155,Plymouth 034A,2017,240,343,583,11.9,17.0,28.9
E01015156,Plymouth 027E,2317,202,272,474,8.7,11.7,20.5
E01015159,Plymouth 002B,1720,381,308,689,22.2,17.9,40.1
E01015160,Plymouth 001C,1479,345,324,669,23.3,21.9,45.2
E01015161,Plymouth 002C,1683,316,234,550,18.8,13.9,32.7
E01015162,Plymouth 002D,1459,291,247,538,19.9,16.9,36.9
E01015163,Plymouth 003D,1599,332,304,636,20.8,19.0,39.8
E01015164,Plymouth 001D,1953,362,263,625,18.5,13.5,32.0
E01015165,Plymouth 003E,1648,273,248,521,16.6,15.0,31.6
E01015166,Plymouth 002E,2204,285,317,602,12.9,14.4,27.3
E01015167,Plymouth 020C,1503,263,288,551,17.5,19.2,36.7
E01015168,Plymouth 020D,1849,310,322,632,16.8,17.4,34.2
E01015169,Plymouth 024A,1941,289,287,576,14.9,14.8,29.7
