Facility_Name,Latitude,Longitude,Existing
Bideford Community Hospital,51.01809928081885," -4.212522957859537",Yes
NHS Nightingale Exeter,50.72341831275107," -3.466704571939486",Yes
"Colin Campbell Court, Plymouth",50.370672920789495,-4.148156858545842,Yes
Torbay & South Devon Community Diagnostic Centre,50.466924221878465," -3.528502002640093",Yes
Tiverton - Lowman Way,50.91182163035265," -3.465859009132704",No
Okehampton - Exeter Road Industrial Estate,50.74221938533084," -3.9806394380140406",No
Crediton - Lords Meadow,50.79131853444053," -3.6380286182409396",No
South Molton - Pathfields,51.027691895450126," -3.8324000157430986",No
Newton Abbott - Market Walk,50.53064388428932," -3.611170205062657",No
Bovey Tracey - Blue Waters,50.58151329120111," -3.673216836840683",No
Honiton - Devonshire Road,50.79321960198697," -3.2063861113988694",No
Exmouth - The Strand,50.61926184302485," -3.415101094812189",No
Barnstaple - Archwood Retail Park,51.07747457752134," -4.065321553640849",No
Ilfracombe - Wilder Road,51.21018038866863," -4.119385128152637",No
Kingsbridge - Fore Street,50.285124062275806," -3.777670225836845",No
Tavistock - Drake Road,50.55100102546156," -4.1462673217912105",No
Holsworthy - Underlane,50.80653811030374," -4.355171414939524",No
Paignton - Hyde Road,50.437093667174494," -3.5660724692259045",No
