Facility_Name,Latitude,Longitude,Existing,Build_Cost_GBP_Thousands
Bideford Community Hospital,51.01809928081885,-4.212522957859537,Yes,0
NHS Nightingale Exeter,50.72341831275107,-3.466704571939486,Yes,0
"Colin Campbell Court, Plymouth",50.370672920789495,-4.148156858545842,Yes,0
Torbay & South Devon Community Diagnostic Centre,50.46692422187847,-3.528502002640093,Yes,0
Tiverton - Lowman Way,50.91182163035265,-3.465859009132704,No,450
Okehampton - Exeter Road Industrial Estate,50.74221938533084,-3.9806394380140406,No,260
Crediton - Lords Meadow,50.79131853444053,-3.63802861824094,No,300
South Molton - Pathfields,51.027691895450126,-3.832400015743098,No,280
Newton Abbott - Market Walk,50.53064388428932,-3.611170205062657,No,620
Bovey Tracey - Blue Waters,50.58151329120111,-3.673216836840683,No,340
Honiton - Devonshire Road,50.79321960198697,-3.2063861113988694,No,400
Exmouth - The Strand,50.61926184302485,-3.415101094812189,No,580
Barnstaple - Archwood Retail Park,51.07747457752134,-4.065321553640849,No,510
Ilfracombe - Wilder Road,51.21018038866863,-4.119385128152637,No,310
Kingsbridge - Fore Street,50.285124062275806,-3.777670225836845,No,330
Tavistock - Drake Road,50.55100102546156,-4.1462673217912105,No,420
Holsworthy - Underlane,50.80653811030374,-4.355171414939524,No,240
Paignton - Hyde Road,50.437093667174494,-3.5660724692259045,No,470
