LSOA code (2021),LSOA name (2021),Local Authority District code (2024),Local Authority District name (2024),Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOA
E01015023,Plymouth 003A,E06000026,Plymouth,6128,2
E01015024,Plymouth 004A,E06000026,Plymouth,16542,5
E01015025,Plymouth 001A,E06000026,Plymouth,31505,10
E01015026,Plymouth 003B,E06000026,Plymouth,3899,2
E01015027,Plymouth 002A,E06000026,Plymouth,24646,8
E01015028,Plymouth 003C,E06000026,Plymouth,2330,1
E01015029,Plymouth 008A,E06000026,Plymouth,17413,6
E01015030,Plymouth 007A,E06000026,Plymouth,2111,1
E01015031,Plymouth 023A,E06000026,Plymouth,15464,5
E01015032,Plymouth 023B,E06000026,Plymouth,7671,3
E01015033,Plymouth 016A,E06000026,Plymouth,29805,9
E01015034,Plymouth 016B,E06000026,Plymouth,31117,10
E01015035,Plymouth 012A,E06000026,Plymouth,27454,9
E01015036,Plymouth 016C,E06000026,Plymouth,26158,8
E01015037,Plymouth 012B,E06000026,Plymouth,18205,6
E01015038,Plymouth 016D,E06000026,Plymouth,27769,9
E01015039,Plymouth 014A,E06000026,Plymouth,8121,3
E01015040,Plymouth 014B,E06000026,Plymouth,3721,2
E01015041,Plymouth 014C,E06000026,Plymouth,12078,4
E01015042,Plymouth 020A,E06000026,Plymouth,9453,3
E01015043,Plymouth 026A,E06000026,Plymouth,1267,1
E01015044,Plymouth 020B,E06000026,Plymouth,5082,2
E01015045,Plymouth 026B,E06000026,Plymouth,1851,1
E01015046,Plymouth 026C,E06000026,Plymouth,575,1
E01015047,Plymouth 026D,E06000026,Plymouth,4106,2
E01015048,Plymouth 026E,E06000026,Plymouth,6828,3
E01015049,Plymouth 023C,E06000026,Plymouth,20108,6
E01015050,Plymouth 023D,E06000026,Plymouth,10613,4
E01015051,Plymouth 023E,E06000026,Plymouth,12787,4
E01015052,Plymouth 028A,E06000026,Plymouth,7602,3
E01015053,Plymouth 027A,E06000026,Plymouth,5870,2
E01015054,Plymouth 027B,E06000026,Plymouth,16125,5
E01015055,Plymouth 021A,E06000026,Plymouth,4755,2
E01015056,Plymouth 021B,E06000026,Plymouth,13325,4
E01015057,Plymouth 021C,E06000026,Plymouth,4457,2
E01015058,Plymouth 012C,E06000026,Plymouth,3814,2
E01015059,Plymouth 021D,E06000026,Plymouth,13774,5
E01015060,Plymouth 021E,E06000026,Plymouth,8680,3
E01015061,Plymouth 025A,E06000026,Plymouth,9330,3
E01015062,Plymouth 025B,E06000026,Plymouth,10705,4
E01015063,Plymouth 010A,E06000026,Plymouth,9233,3
E01015064,Plymouth 008B,E06000026,Plymouth,30625,10
E01015065,Plymouth 008C,E06000026,Plymouth,18562,6
E01015066,Plymouth 012D,E06000026,Plymouth,25210,8
E01015067,Plymouth 012E,E06000026,Plymouth,29923,9
E01015068,Plymouth 010B,E06000026,Plymouth,26604,8
E01015069,Plymouth 010C,E06000026,Plymouth,10142,4
E01015070,Plymouth 007B,E06000026,Plymouth,18546,6
E01015071,Plymouth 008D,E06000026,Plymouth,16301,5
E01015072,Plymouth 013A,E06000026,Plymouth,4909,2
E01015073,Plymouth 013B,E06000026,Plymouth,5688,2
E01015074,Plymouth 011A,E06000026,Plymouth,4757,2
E01015075,Plymouth 014D,E06000026,Plymouth,5144,2
E01015076,Plymouth 009A,E06000026,Plymouth,16560,5
E01015077,Plymouth 011B,E06000026,Plymouth,18165,6
E01015078,Plymouth 013C,E06000026,Plymouth,2676,1
