from_id,Cumberland Centre (Plymouth),Dawlish Community Hospital,Derriford Hospital (UTC),Exmouth Minor Injury Unit,Honiton Hospital,Ilfracombe & District Tyrrell Hospital,NHS Walk in Centre (Exeter),Newton Abbot Community Hospital,North Devon District Hospital,South Hams Hospital (Kingsbridge),South Molton Hospital,Tavistock Hospital,Tiverton & District Hospital,Totnes Community Hospital,Victoria Hospital (Sidmouth)
East Devon 001A,75.0,44.0,70.0,38.0,16.0,86.0,35.0,47.0,77.0,71.0,55.0,72.0,34.0,56.0,29.0
East Devon 001B,71.0,40.0,66.0,33.0,12.0,92.0,31.0,43.0,83.0,67.0,61.0,67.0,40.0,52.0,27.0
East Devon 001C,83.0,52.0,77.0,45.0,25.0,104.0,43.0,55.0,94.0,79.0,72.0,79.0,52.0,64.0,39.0
East Devon 002A,67.0,36.0,61.0,29.0,3.0,84.0,27.0,39.0,75.0,63.0,53.0,63.0,33.0,48.0,19.0
East Devon 002B,67.0,36.0,61.0,29.0,5.0,82.0,27.0,39.0,73.0,63.0,51.0,63.0,30.0,48.0,19.0
East Devon 002C,65.0,35.0,60.0,28.0,6.0,84.0,26.0,37.0,75.0,61.0,53.0,62.0,33.0,47.0,20.0
East Devon 002D,68.0,37.0,63.0,31.0,6.0,87.0,28.0,40.0,78.0,64.0,56.0,65.0,35.0,50.0,23.0
East Devon 003A,66.0,35.0,60.0,28.0,5.0,85.0,26.0,38.0,76.0,62.0,54.0,62.0,33.0,47.0,18.0
East Devon 003B,70.0,39.0,64.0,32.0,5.0,87.0,30.0,42.0,78.0,66.0,56.0,66.0,36.0,51.0,20.0
East Devon 003C,68.0,37.0,62.0,30.0,7.0,87.0,28.0,39.0,78.0,63.0,56.0,64.0,36.0,49.0,18.0
East Devon 003D,69.0,38.0,64.0,31.0,6.0,89.0,29.0,41.0,79.0,65.0,58.0,66.0,37.0,50.0,18.0
East Devon 004A,64.0,34.0,59.0,27.0,15.0,84.0,25.0,36.0,75.0,60.0,53.0,61.0,32.0,46.0,27.0
East Devon 004D,70.0,39.0,64.0,32.0,11.0,78.0,30.0,42.0,69.0,66.0,47.0,66.0,26.0,51.0,24.0
East Devon 004E,74.0,43.0,68.0,39.0,22.0,80.0,34.0,46.0,71.0,69.0,49.0,70.0,28.0,55.0,35.0
East Devon 004F,64.0,33.0,59.0,26.0,18.0,87.0,23.0,36.0,78.0,60.0,56.0,61.0,31.0,45.0,27.0
East Devon 004G,62.0,31.0,57.0,24.0,12.0,86.0,22.0,34.0,76.0,58.0,54.0,58.0,34.0,43.0,24.0
East Devon 005A,83.0,52.0,78.0,45.0,22.0,102.0,43.0,55.0,93.0,79.0,71.0,80.0,50.0,64.0,29.0
East Devon 005B,80.0,49.0,75.0,42.0,19.0,99.0,40.0,52.0,90.0,76.0,68.0,77.0,47.0,61.0,26.0
East Devon 005C,79.0,48.0,73.0,41.0,18.0,98.0,39.0,51.0,89.0,75.0,67.0,75.0,46.0,60.0,25.0
East Devon 005D,80.0,49.0,74.0,42.0,18.0,99.0,40.0,51.0,89.0,75.0,67.0,76.0,47.0,61.0,24.0
East Devon 005E,90.0,60.0,85.0,53.0,29.0,109.0,51.0,62.0,100.0,86.0,78.0,87.0,58.0,72.0,36.0
East Devon 006A,65.0,34.0,60.0,31.0,25.0,80.0,19.0,37.0,71.0,61.0,49.0,62.0,24.0,47.0,33.0
East Devon 006B,61.0,31.0,56.0,27.0,23.0,82.0,16.0,33.0,73.0,57.0,51.0,58.0,26.0,43.0,31.0
East Devon 006C,62.0,31.0,57.0,27.0,26.0,86.0,22.0,34.0,77.0,58.0,55.0,58.0,34.0,43.0,31.0
East Devon 006D,69.0,38.0,63.0,35.0,37.0,79.0,14.0,41.0,70.0,64.0,48.0,61.0,23.0,50.0,41.0
East Devon 007A,81.0,51.0,76.0,37.0,20.0,100.0,42.0,53.0,91.0,77.0,69.0,78.0,49.0,63.0,18.0
East Devon 007B,82.0,51.0,77.0,36.0,21.0,101.0,42.0,54.0,92.0,78.0,70.0,78.0,49.0,63.0,18.0
East Devon 007C,78.0,47.0,73.0,40.0,17.0,97.0,38.0,50.0,88.0,74.0,66.0,75.0,45.0,59.0,29.0
East Devon 007D,83.0,52.0,78.0,42.0,22.0,102.0,43.0,55.0,93.0,79.0,71.0,80.0,50.0,64.0,23.0
East Devon 007E,86.0,55.0,80.0,44.0,25.0,105.0,46.0,58.0,96.0,81.0,74.0,82.0,53.0,67.0,26.0
East Devon 008A,62.0,32.0,57.0,18.0,18.0,86.0,23.0,34.0,77.0,58.0,55.0,59.0,34.0,44.0,19.0
East Devon 008B,67.0,36.0,61.0,22.0,23.0,90.0,27.0,39.0,81.0,62.0,59.0,63.0,39.0,48.0,12.0
East Devon 008C,63.0,33.0,58.0,25.0,18.0,87.0,24.0,35.0,78.0,59.0,56.0,60.0,35.0,45.0,18.0
East Devon 008D,67.0,36.0,62.0,29.0,16.0,91.0,27.0,39.0,82.0,63.0,60.0,64.0,39.0,49.0,18.0
East Devon 008E,67.0,36.0,61.0,29.0,15.0,90.0,27.0,39.0,81.0,62.0,59.0,63.0,39.0,48.0,20.0
East Devon 009A,82.0,51.0,77.0,36.0,26.0,107.0,42.0,54.0,97.0,78.0,76.0,79.0,55.0,63.0,18.0
East Devon 009B,75.0,44.0,69.0,37.0,12.0,94.0,35.0,47.0,84.0,70.0,63.0,71.0,42.0,56.0,29.0
East Devon 009C,73.0,42.0,68.0,27.0,19.0,98.0,34.0,45.0,89.0,69.0,67.0,70.0,47.0,55.0,7.0
East Devon 010A,81.0,51.0,76.0,35.0,26.0,106.0,42.0,53.0,97.0,77.0,75.0,78.0,54.0,63.0,17.0
East Devon 010B,83.0,52.0,77.0,37.0,27.0,107.0,43.0,55.0,98.0,78.0,76.0,79.0,55.0,64.0,18.0
East Devon 010C,81.0,50.0,75.0,35.0,25.0,105.0,41.0,53.0,96.0,76.0,74.0,77.0,53.0,62.0,16.0
East Devon 010D,81.0,50.0,75.0,35.0,25.0,105.0,41.0,53.0,96.0,77.0,74.0,77.0,54.0,62.0,16.0
East Devon 010E,82.0,51.0,77.0,36.0,27.0,107.0,43.0,54.0,98.0,78.0,76.0,79.0,55.0,64.0,18.0
East Devon 011A,70.0,40.0,65.0,25.0,18.0,96.0,31.0,42.0,87.0,66.0,65.0,67.0,44.0,52.0,5.0
East Devon 011B,69.0,38.0,63.0,23.0,19.0,94.0,29.0,41.0,85.0,65.0,63.0,65.0,42.0,50.0,6.0
East Devon 011C,69.0,39.0,64.0,23.0,22.0,95.0,30.0,41.0,85.0,65.0,64.0,66.0,43.0,51.0,6.0
East Devon 011D,70.0,40.0,65.0,24.0,18.0,96.0,31.0,42.0,87.0,66.0,65.0,67.0,44.0,52.0,3.0
East Devon 012A,71.0,40.0,65.0,22.0,20.0,96.0,31.0,43.0,87.0,67.0,65.0,67.0,44.0,52.0,1.0
East Devon 012B,71.0,40.0,65.0,21.0,22.0,96.0,31.0,43.0,87.0,66.0,65.0,67.0,44.0,52.0,2.0
East Devon 012C,69.0,39.0,64.0,23.0,20.0,95.0,30.0,41.0,86.0,65.0,64.0,66.0,43.0,51.0,4.0
East Devon 013A,62.0,31.0,57.0,16.0,23.0,87.0,23.0,34.0,78.0,58.0,56.0,59.0,36.0,44.0,9.0
East Devon 013B,65.0,35.0,60.0,13.0,29.0,91.0,26.0,37.0,81.0,61.0,60.0,62.0,39.0,47.0,14.0
East Devon 013C,59.0,29.0,54.0,12.0,28.0,85.0,20.0,31.0,76.0,55.0,54.0,56.0,33.0,41.0,18.0
East Devon 014A,53.0,22.0,48.0,16.0,23.0,78.0,14.0,25.0,69.0,49.0,47.0,50.0,27.0,35.0,20.0
East Devon 014B,59.0,29.0,54.0,9.0,29.0,85.0,20.0,31.0,76.0,55.0,54.0,56.0,33.0,41.0,20.0
East Devon 014C,63.0,33.0,58.0,10.0,30.0,89.0,24.0,35.0,79.0,59.0,57.0,60.0,37.0,45.0,21.0
East Devon 015A,67.0,37.0,62.0,6.0,32.0,93.0,28.0,39.0,84.0,63.0,62.0,64.0,41.0,49.0,21.0
East Devon 015B,64.0,33.0,59.0,7.0,28.0,89.0,25.0,36.0,80.0,60.0,58.0,61.0,38.0,46.0,18.0
East Devon 015C,65.0,34.0,60.0,7.0,31.0,90.0,26.0,37.0,81.0,61.0,59.0,62.0,39.0,47.0,21.0
East Devon 015D,66.0,35.0,61.0,6.0,30.0,91.0,27.0,38.0,82.0,62.0,60.0,63.0,40.0,48.0,19.0
East Devon 016A,65.0,35.0,60.0,8.0,30.0,91.0,26.0,37.0,81.0,61.0,60.0,62.0,39.0,47.0,20.0
East Devon 016B,64.0,33.0,58.0,5.0,29.0,89.0,24.0,36.0,80.0,59.0,58.0,60.0,37.0,45.0,20.0
East Devon 016C,65.0,34.0,60.0,3.0,32.0,90.0,26.0,37.0,81.0,61.0,59.0,62.0,39.0,47.0,22.0
East Devon 016D,64.0,33.0,59.0,6.0,31.0,89.0,24.0,36.0,80.0,60.0,58.0,61.0,38.0,45.0,22.0
East Devon 017A,69.0,38.0,63.0,12.0,32.0,94.0,29.0,41.0,85.0,65.0,63.0,65.0,42.0,50.0,14.0
East Devon 017B,67.0,37.0,62.0,10.0,31.0,93.0,28.0,39.0,84.0,63.0,62.0,64.0,41.0,49.0,12.0
East Devon 017C,68.0,38.0,63.0,10.0,32.0,94.0,29.0,40.0,85.0,64.0,63.0,65.0,42.0,50.0,16.0
East Devon 017D,70.0,40.0,65.0,12.0,34.0,96.0,31.0,42.0,87.0,66.0,65.0,67.0,44.0,52.0,16.0
East Devon 018A,68.0,37.0,62.0,6.0,31.0,93.0,28.0,40.0,84.0,64.0,62.0,64.0,41.0,49.0,20.0
East Devon 018B,68.0,37.0,62.0,3.0,33.0,93.0,28.0,40.0,84.0,64.0,62.0,64.0,41.0,49.0,22.0
East Devon 018C,67.0,36.0,62.0,4.0,33.0,92.0,28.0,39.0,83.0,63.0,61.0,64.0,41.0,49.0,23.0
East Devon 018D,66.0,35.0,61.0,6.0,31.0,91.0,27.0,38.0,82.0,62.0,60.0,63.0,40.0,48.0,21.0
East Devon 018E,67.0,36.0,62.0,7.0,31.0,92.0,28.0,39.0,83.0,63.0,61.0,64.0,41.0,49.0,20.0
East Devon 019A,67.0,36.0,61.0,2.0,34.0,92.0,27.0,39.0,83.0,63.0,61.0,63.0,40.0,48.0,24.0
East Devon 019B,66.0,35.0,61.0,2.0,33.0,91.0,27.0,38.0,82.0,62.0,60.0,63.0,40.0,48.0,23.0
East Devon 019C,69.0,38.0,63.0,6.0,36.0,94.0,29.0,41.0,85.0,64.0,63.0,65.0,42.0,50.0,26.0
East Devon 019D,66.0,35.0,61.0,2.0,33.0,91.0,27.0,38.0,82.0,62.0,60.0,63.0,40.0,48.0,23.0
East Devon 020A,68.0,38.0,63.0,3.0,35.0,94.0,29.0,40.0,85.0,64.0,63.0,65.0,42.0,50.0,23.0
East Devon 020B,71.0,40.0,66.0,3.0,36.0,96.0,31.0,43.0,87.0,67.0,65.0,68.0,44.0,52.0,24.0
East Devon 020C,68.0,37.0,63.0,4.0,32.0,93.0,29.0,40.0,84.0,64.0,62.0,65.0,42.0,50.0,20.0
East Devon 020D,68.0,38.0,63.0,2.0,33.0,94.0,29.0,40.0,84.0,64.0,62.0,65.0,42.0,50.0,21.0
Exeter 001C,63.0,32.0,57.0,28.0,30.0,81.0,7.0,35.0,72.0,59.0,50.0,56.0,25.0,44.0,34.0
