from_id,Cumberland Centre (Plymouth),Dawlish Community Hospital,Derriford Hospital (UTC),Exmouth Minor Injury Unit,Honiton Hospital,Ilfracombe & District Tyrrell Hospital,NHS Walk in Centre (Exeter),Newton Abbot Community Hospital,North Devon District Hospital,South Hams Hospital (Kingsbridge),South Molton Hospital,Tavistock Hospital,Tiverton & District Hospital,Totnes Community Hospital,Victoria Hospital (Sidmouth)
East Devon 001A,260.0,217.0,268.0,211.0,76.0,365.0,137.0,213.0,288.0,292.0,245.0,316.0,190.0,259.0,160.0
East Devon 001B,359.0,288.0,363.0,258.0,133.0,518.0,223.0,302.0,490.0,9999.0,433.0,415.0,317.0,326.0,198.0
East Devon 001C,398.0,377.0,402.0,338.0,216.0,543.0,294.0,386.0,515.0,9999.0,458.0,454.0,388.0,361.0,260.0
East Devon 002A,222.0,197.0,225.0,127.0,14.0,365.0,116.0,205.0,288.0,286.0,241.0,275.0,184.0,213.0,72.0
East Devon 002B,221.0,195.0,223.0,128.0,18.0,365.0,115.0,201.0,288.0,282.0,241.0,275.0,180.0,209.0,73.0
East Devon 002C,223.0,201.0,224.0,131.0,21.0,365.0,118.0,203.0,288.0,284.0,245.0,276.0,182.0,211.0,80.0
East Devon 002D,230.0,202.0,235.0,130.0,17.0,365.0,122.0,210.0,288.0,292.0,243.0,279.0,190.0,219.0,77.0
East Devon 003A,219.0,194.0,225.0,125.0,23.0,365.0,113.0,202.0,288.0,285.0,238.0,273.0,183.0,212.0,68.0
East Devon 003B,231.0,201.0,238.0,129.0,12.0,365.0,121.0,209.0,288.0,292.0,242.0,281.0,190.0,219.0,75.0
East Devon 003C,219.0,194.0,226.0,124.0,30.0,365.0,113.0,202.0,288.0,287.0,237.0,272.0,185.0,214.0,67.0
East Devon 003D,225.0,199.0,232.0,126.0,19.0,365.0,118.0,207.0,288.0,292.0,240.0,275.0,190.0,219.0,70.0
East Devon 004A,235.0,195.0,245.0,128.0,87.0,365.0,125.0,204.0,288.0,292.0,236.0,290.0,186.0,237.0,67.0
East Devon 004D,260.0,245.0,268.0,226.0,121.0,365.0,165.0,244.0,288.0,292.0,245.0,316.0,190.0,259.0,167.0
East Devon 004E,257.0,241.0,265.0,218.0,213.0,365.0,145.0,261.0,288.0,292.0,245.0,313.0,190.0,256.0,201.0
East Devon 004F,215.0,197.0,223.0,132.0,127.0,365.0,114.0,196.0,288.0,277.0,235.0,271.0,195.0,209.0,79.0
East Devon 004G,235.0,212.0,239.0,188.0,96.0,365.0,127.0,211.0,288.0,292.0,245.0,285.0,197.0,228.0,154.0
East Devon 005A,260.0,217.0,268.0,195.0,77.0,365.0,137.0,213.0,288.0,292.0,245.0,316.0,190.0,259.0,128.0
East Devon 005B,260.0,217.0,268.0,195.0,77.0,365.0,137.0,213.0,288.0,292.0,245.0,316.0,190.0,259.0,128.0
East Devon 005C,260.0,217.0,268.0,188.0,77.0,365.0,137.0,213.0,288.0,292.0,245.0,316.0,190.0,252.0,121.0
East Devon 005D,260.0,217.0,268.0,185.0,77.0,365.0,137.0,213.0,288.0,292.0,245.0,316.0,190.0,249.0,118.0
East Devon 005E,321.0,310.0,332.0,297.0,211.0,375.0,245.0,324.0,298.0,371.0,255.0,384.0,237.0,321.0,248.0
East Devon 006A,186.0,139.0,199.0,130.0,158.0,346.0,51.0,164.0,281.0,217.0,230.0,249.0,121.0,179.0,135.0
East Devon 006B,158.0,126.0,168.0,111.0,131.0,336.0,37.0,148.0,274.0,198.0,230.0,211.0,107.0,166.0,112.0
East Devon 006C,175.0,151.0,187.0,129.0,121.0,365.0,71.0,160.0,288.0,213.0,230.0,243.0,143.0,171.0,122.0
East Devon 006D,169.0,134.0,183.0,119.0,154.0,210.0,39.0,160.0,157.0,197.0,123.0,230.0,64.0,171.0,138.0
East Devon 007A,260.0,217.0,268.0,122.0,67.0,365.0,131.0,211.0,288.0,292.0,245.0,308.0,190.0,219.0,81.0
