latitude,longitude,count,duration
50.7184,-3.5339,1,60
50.4629,-3.5253,1,60
50.3755,-4.1427,1,60
50.2090,-5.2940,1,30
50.4717,-3.5460,1,45
50.8236,-3.9730,1,30
50.8110,-4.1680,1,30
50.4304,-3.6860,1,30
50.3522,-3.5794,1,30
50.5510,-3.4820,1,60
50.9145,-3.7721,1,60
50.6821,-4.0597,1,60
50.2815,-3.7812,1,60
50.5968,-4.1302,1,30
50.7392,-3.9965,1,45
50.3987,-4.0491,1,30
50.5472,-3.4946,1,45
50.9297,-4.2055,1,45
50.3650,-3.5150,1,45
50.6280,-3.3280,1,30
50.7210,-4.0050,1,60
50.8850,-3.3920,1,60
50.4320,-3.6890,1,60
50.2670,-3.7640,1,60
50.9140,-4.1610,1,30
50.7800,-3.6820,1,30
50.6130,-4.2220,1,45
50.3420,-3.5730,1,45
50.5080,-3.7510,1,30
50.8480,-3.5940,1,60
,,,
