from_id,Bideford Community Hospital,NHS Nightingale Exeter,"Colin Campbell Court, Plymouth",Torbay & South Devon Community Diagnostic Centre,Tiverton - Lowman Way,Okehampton - Exeter Road Industrial Estate,Crediton - Lords Meadow,South Molton - Pathfields,Newton Abbott - Market Walk,Bovey Tracey - Blue Waters,Honiton - Devonshire Road,Exmouth - The Strand,Barnstaple - Archwood Retail Park,Ilfracombe - Wilder Road,Kingsbridge - Fore Street,Tavistock - Drake Road,Holsworthy - Underlane,Paignton - Hyde Road
Plymouth 001A,103.35,71.26667,15.883333,72.75,97.86667,58.983334,93.316666,117.15,53.483334,50.083332,89.35,88.03333,109.933334,136.76666,49.15,25.65,78.833336,60.583332
Plymouth 002A,105.63333,71.416664,16.033333,72.916664,98.03333,61.283333,95.6,119.433334,53.65,50.25,89.51667,88.183334,112.21667,139.05,49.316666,27.933332,81.11667,60.733334
Plymouth 003A,108.6,72.0,15.5,73.5,98.61667,64.25,98.566666,122.4,54.25,50.833332,90.1,88.78333,115.183334,142.01666,49.9,30.9,84.083336,61.333332
Plymouth 003B,110.53333,73.9,17.433332,75.38333,100.5,66.183334,95.88333,124.333336,56.133335,52.733334,91.98333,90.666664,117.11667,143.96666,51.8,32.833332,86.01667,63.216667
Plymouth 003C,112.1,75.416664,19.0,76.916664,102.03333,67.75,97.416664,125.9,57.666668,54.266666,93.51667,92.2,118.683334,145.53334,53.316666,34.4,87.583336,64.75
Plymouth 004A,110.916664,74.1,17.95,75.6,100.7,66.566666,100.88333,124.73333,56.333332,52.933334,92.2,90.86667,117.5,144.35,52.0,33.216667,86.4,63.433334
Plymouth 007A,108.433334,71.833336,15.333333,73.333336,98.45,64.066666,98.4,122.23333,54.066666,50.666668,89.933334,88.61667,115.01667,141.85,49.733334,30.716667,83.9,61.166668
Plymouth 007B,108.13333,69.13333,12.633333,70.63333,95.75,63.783333,91.13333,121.933334,51.383335,47.966667,87.23333,85.916664,114.71667,141.55,47.033333,30.433332,83.61667,58.466667
Plymouth 008A,109.05,68.933334,12.433333,70.433334,95.55,64.683334,90.933334,122.85,51.183334,47.783333,87.03333,85.71667,115.63333,142.46666,46.833332,31.333334,84.51667,58.266666
Plymouth 008B,108.46667,69.03333,12.516666,70.53333,95.65,64.1,91.03333,122.26667,51.266666,47.866665,87.13333,85.8,115.05,141.88333,46.933334,30.75,83.933334,58.366665
Plymouth 008C,109.45,68.1,13.516666,69.6,94.71667,65.083336,90.1,123.25,50.35,46.933334,86.2,84.88333,116.03333,142.86667,46.0,31.733334,84.916664,57.433334
Plymouth 008D,107.05,68.05,11.55,69.55,94.666664,62.7,90.05,120.85,50.3,46.883335,86.15,84.833336,113.63333,140.46666,45.95,29.35,82.53333,57.383335
Plymouth 010A,112.833336,66.55,10.916667,68.05,93.166664,68.48333,88.55,124.65,48.8,45.383335,84.65,83.333336,119.433334,146.26666,44.45,35.133335,88.316666,55.883335
Plymouth 010B,111.566666,67.683334,15.633333,69.183334,94.3,67.2,89.683334,125.36667,49.916668,46.516666,85.78333,84.45,118.15,145.0,45.583332,33.85,87.03333,57.016666
Plymouth 010C,110.916664,65.05,14.733334,66.55,91.666664,66.55,87.03333,123.13333,47.283333,43.883335,83.15,81.816666,117.5,144.35,42.95,33.2,86.38333,54.383335
Plymouth 012A,112.95,67.083336,9.2,68.583336,93.7,68.583336,89.066666,125.166664,49.316666,45.916668,85.183334,83.85,119.53333,146.36667,44.983334,35.233334,88.416664,56.416668
Plymouth 012B,113.03333,67.98333,8.45,69.46667,94.583336,68.683334,89.96667,126.066666,50.216667,46.816666,86.066666,84.75,119.61667,146.45,45.866665,35.333332,88.51667,57.3
